ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.316765884,214.3733941,22018.41744,8.059331676,356.8861596,363.2665162,18.4365245,100.3416744,4.628770537,1
9.092223445,181.1015092,20909.69747,6.546599775,310.0585126,398.4108876,11.55827027,31.9965636,4.075915816,1
6.285940415,212.6039433,25616.20635,8.142989464,348.0996856,531.5471446,13.01346722,56.32907231,3.043598941,1
6.445545882,178.7707311,20604.50112,9.071212511,360.3553707,466.9532143,14.21033213,73.68592726,4.422394369,0
7.158318044,166.124765,20161.99042,8.545411332,383.5249991,400.1008181,16.8841691,60.02735596,3.232852343,0
7.31324538,173.5563327,25825.5852,8.481529536,330.0389394,437.3315747,21.34523758,71.54926019,4.269579868,0
7.835384169,216.7316877,20840.50491,6.874367737,336.7123211,425.9157045,17.70414989,100.4456396,4.05642183,1
9.419913712,170.8296181,22988.66226,6.69627885,371.5952103,421.9663896,15.39702795,67.01713824,3.694021314,0
5.126022999,225.3875317,16381.10106,9.442210324,359.3418048,526.4230409,16.42116014,64.83180027,3.506923852,0
9.084770279,178.900704,21012.88032,8.291747829,337.5529419,470.5700105,8.148390833,80.46491884,3.068445792,0
